id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
5968,9,6.500279903,large_community,5.0,0.271,11863.01082,13300000
5969,9,6.501628876,medium_residential,0.01,0.271,23.7309454,26600
5970,9,6.477662563,large_residential,0.015,0.27,35.46520253,39900
5971,9,6.477662563,medium_residential,0.01,0.27,23.64346835,26600
5972,9,6.452705383,large_utility,2000.0,0.269,4710474.93,5320000000
5973,9,6.452705383,small_community,0.15,0.269,353.2856197,399000
5974,9,6.443435192,small_community,0.15,0.268,352.7780768,399000
5975,9,6.443435192,small_residential,0.005,0.268,11.75926923,13300
5976,9,6.464435577,medium_residential,0.01,0.269,23.59518986,26600
5977,9,6.464435577,large_residential,0.015,0.269,35.39278478,39900
5978,9,6.484175205,medium_utility,500.0,0.27,1183361.975,1330000000
5979,9,6.455320835,medium_community,2.0,0.269,4712.38421,5320000
